DATE,AED,AUD,BHD,BND,BRL,BWP,CAD,CHF,CLP,CNY,COP,CRC,CZK,DKK,DZD,EUR,GBP,HKD,HUF,IDR,ILS,INR,IRR,ISK,JPY,KRW,KWD,KZT,LKR,LVL,LYD,MUR,MXN,MYR,NOK,NPR,NZD,OMR,PEN,PHP,PKR,PLN,QAR,RUB,SAR,SEK,SGD,THB,TND,TRL,TTD,TWD,USD,UYU,VES,XDR,ZAR
1958-09,,0.8953353,,,6.88078e-14,,0.977,4.2854,0.000741978,2.46181,6.38,5.615,,6.90512,,,0.3567097,,,,0.00018,4.774,,0.16283,359.8383,50,,,,,,,0.0125,,7.14286,,0.7205649,,,,,0.0004,,,,5.17384,,,,0.000009015,,,1,,,1,0.714388
1958-10,,0.8941345,,,6.05855e-14,,0.971,4.2918,0.000761978,2.46181,6.4,5.615,,6.90512,,,0.3562395,,,,0.00018,4.77,,0.16283,359.8383,50,,,,,,,0.0125,,7.14286,,0.7196316,,,,,0.0004,,,,5.17384,,,,0.000009015,,,1,,,1,0.713404
1958-11,,0.8946144,,,6.05855e-14,,0.968,4.2918,0.000761978,2.46181,6.42,5.615,,6.90512,,,0.3564046,,,,0.00018,4.771,,0.16283,359.8383,50,,,,,,,0.0125,,7.14286,,0.7199942,,,,,0.0004,,,,5.17384,,,,0.000009015,,,1,,,1,0.713789
1958-12,,0.895175,,,6.01528e-14,,0.965,4.2887,0.000762978,2.46181,6.4,5.615,,6.90465,,,0.3566207,,,,0.00018,4.776,,0.16283,359.8383,50,,,,,,,0.0125,,7.14286,,0.7204611,,,,,0.0004,,,,5.17357,,,,0.000009015,,,1,,,1,0.714166
1959-01,,0.8943744,,,6.3182e-14,,0.967,4.312,0.000868975,2.46181,6.4,5.615,,6.90084,,,0.3563284,,,,0.00018,4.772,,0.16283,359.8383,50,,,,,,,0.0125,,7.14286,,0.7197351,,,,,0.0004,,,,5.17411,,,,0.000009015,,,1,,,1,0.713587
1959-02,,0.8934155,,,6.79423e-14,,0.975,4.3133,0.000868975,2.46181,6.4,5.615,,6.89941,,,0.3559225,,,,0.00018,4.764,,0.16283,359.8383,50,,,,,,,0.0125,,7.14286,,0.7190107,,,,,0.0004,,,,5.17411,,,,0.000009015,,,1,,,1,0.712814
1959-03,,0.8923791,,,6.05855e-14,,0.97,4.3228,0.000862975,2.46181,6.4,5.615,,6.88942,,,0.3555556,,,,0.00018,4.759,,0.16283,359.8383,50,,,,,,,0.0125,,7.14286,,0.7181329,,,,,0.0004,,,,5.17464,,,,0.000009015,,,1,,,1,0.712073
1959-04,,0.8911862,,,5.92872e-14,,0.964,4.3226,0.000974972,2.46181,6.4,5.615,,6.88326,,,0.355038,,,,0.00018,4.754,,0.16283,359.8383,50,,,,,,,0.0125,,7.14286,,0.7172058,,,,,0.0004,,,,5.17331,,,,0.000009015,,,1,,,1,0.710997
1959-05,,0.8917425,,,5.7989e-14,,0.963,4.3228,0.000974972,2.46181,6.4,5.615,,6.88895,,,0.3552776,,,,0.00018,4.756,,0.16283,359.8383,50,,,,,,,0.0125,,7.14286,,0.717669,,,,,0.0004,,,,5.17438,,,,0.000009015,,,1,,,1,0.711529
1959-06,,0.8923791,,,5.92872e-14,,0.959,4.3115,0.000970972,2.46181,6.4,5.615,,6.88468,,,0.3555303,,,,0.00018,4.759,,0.16283,359.8383,50,,,,,,,0.0125,,7.14286,,0.7181844,,,,,0.0004,,,,5.17411,,,,0.000009015,,,1,,,1,0.712023
1959-07,,0.8926978,,,6.44803e-14,,0.957,4.3096,0.000960972,2.46181,6.4,5.615,,6.88516,,,0.3556314,,,,0.00018,4.76,,0.16283,359.8383,50,,,,,,,0.0125,,7.14286,,0.7184424,,,,,0.0004,,,,5.17331,,,,0.000009015,,,1,,,1,0.71223
1959-08,,0.8934155,,,6.66441e-14,,0.954,4.3144,0.000960972,2.46181,6.4,5.615,,6.89275,,,0.3558972,,,,0.00018,4.765,,0.16283,359.8383,50,,,,,,,0.0125,,7.14286,,0.7190107,,,,,0.0004,,,,5.17411,,,,0.000009015,,,1,,,1,0.712743
1959-09,,0.8952551,,,6.66441e-14,,0.952,4.3249,0.000965972,2.46181,6.4,5.615,,6.89703,,,0.3566588,,,,0.00018,4.773,,0.16283,360.0983,50,,,,,,,0.0125,,7.14286,,0.720513,,,,,0.0004,,,,5.17464,,,,0.000009015,,,1,,,1,0.714286
1959-10,,0.8943744,,,6.66441e-14,,0.948,4.3388,0.000973972,2.46181,6.4,5.615,,6.89132,,,0.3562903,,,,0.00018,4.774,,0.16283,360.2283,50,,,,,,,0.0125,,7.14286,,0.7197869,,,,,0.0004,,,,5.17464,,,,0.000009015,,,1,,,1,0.713623
1959-11,,0.8955758,,,7.09716e-14,,0.95,4.3403,0.000973972,2.46181,6.4,5.615,,6.89845,,,0.3567606,,,,0.00018,4.774,,0.16283,360.2283,50,,,,,,,0.0125,,7.14286,,0.7207207,,,,,0.0004,,,,5.1792,,,,0.000009015,,,1,,,1,0.714541
1959-12,,0.8969414,,,7.96267e-14,,0.951,4.324,0.000973972,2.46181,6.4,5.615,,6.90417,,,0.3573087,,,,0.00018,4.78,,0.16283,360.2283,50,,,,,,,0.0125,,7.14286,,0.7218653,,,,,0.0004,,,,5.18054,,,,0.000009015,,,1,,,1,0.715576
1960-01,,0.896459,,,8.265594e-14,,0.953,4.3268,0.00104797,2.461809,6.4,5.615,,6.90846,,,0.3571301,,,,0.00018,4.7619,,0.16283,360.3583,50,,,,,,,0.0125,,7.15052,,0.7215007,,,,,0.0004,,,,5.18081,,,,0.000009015,,,1,,,1,0.714286
1960-02,,0.8953353,,,8.049217e-14,,0.952,4.3375,0.00104797,2.461809,6.4,5.615,,6.90417,,,0.356697,,,,0.00018,4.7619,,0.38013,360.6183,57.5,,,,,,,0.0125,,7.14796,,0.7206168,,,,,0.0004,,,,5.1784,,,,0.000009015,,,1,,,1,0.714286
1960-03,,0.8945344,,,8.049217e-14,,0.951,4.3369,0.00104797,2.461809,6.52,5.615,,6.8956,,,0.3563919,,,,0.00018,4.7619,,0.381,360.6183,65,,,,,,,0.0125,,7.1398,,0.7199424,,,,,0.0004,,,,5.17759,,,,0.000009015,,,1,,,1,0.714286
1960-04,,0.8934155,,,8.049217e-14,,0.963,4.3388,0.00104897,2.461809,6.7,5.615,,6.89085,,,0.3559225,,,,0.00018,4.7619,,0.381,360.2283,65,,,,,,,0.0125,,7.12504,,0.7190107,,,,,0.0004,,,,5.16556,,,,0.000009015,,,1,,,1,0.714286
1960-05,,0.8944544,,,8.049217e-14,,0.978,4.3245,0.00104897,2.461809,6.7,5.615,,6.90608,,,0.3563538,,,,0.00018,4.7619,,0.381,360.4883,65,,,,,,,0.0125,,7.13369,,0.7198906,,,,,0.0004,,,,5.1709,,,,0.000009015,,,1,,,1,0.714286
1960-06,,0.8955758,,,8.049217e-14,,0.979,4.315,0.00105097,2.461809,6.7,5.615,,6.90179,,,0.3567861,,,,0.00018,4.7619,,0.381,361.2683,65,,,,,,,0.0125,,7.13929,,0.7207727,,,,,0.0004,,,,5.16396,,,,0.000009015,,,1,,,1,0.714286
1960-07,,0.8937349,,,8.049217e-14,,0.978,4.3135,0.00104997,2.461809,6.7,5.615,,6.89085,,,0.3560873,,,,0.00018,4.7619,,0.381,359.3183,65,,,,,,,0.0125,,7.13369,,0.7192692,,,,,0.0004,,,,5.16369,,,,0.000009015,,,1,,,1,0.714286
1960-08,,0.8931761,,,8.049217e-14,,0.97,4.3107,0.00104997,2.461809,6.7,5.615,,6.89037,,,0.3558719,,,,0.00018,4.7619,,0.381,358.8083,65,,,,,,,0.0125,,7.12962,,0.7188039,,,,,0.0004,,,,5.15677,,,,0.00000902,,,1,,,1,0.714286
1960-09,,0.8923791,,,8.049217e-14,,0.972,4.3068,0.00104797,2.461809,6.7,5.615,,6.87853,,,0.3555303,,,,0.00018,4.7619,,0.381,358.8083,65,,,,,,,0.0125,,7.12251,,0.7181844,,,,,0.0004,,,,5.16022,,,,0.00000902,,,1,,,1,0.714286
1960-10,,0.8926978,,,8.049217e-14,,0.979,4.3083,0.00104897,2.461809,6.7,5.615,,6.88468,,,0.3556947,,,,0.00018,4.7619,,0.381,358.8083,65,,,,,,,0.0125,,7.12657,,0.7184941,,,,,0.0004,,,,5.16396,,,,0.00000902,,,1,,,1,0.714286
1960-11,,0.8921403,,,8.049217e-14,,0.977,4.3074,0.00104897,2.461809,6.7,5.615,,6.8861,,,0.3553913,,,,0.00018,4.7619,,0.381,359.9683,65,,,,,,,0.0125,,7.12352,,0.7179782,,,,,0.0004,,,,5.16662,,,,0.00000902,,,1,,,1,0.714286
1960-12,,0.8940545,,,8.438696e-14,,0.982,4.3057,0.00104897,2.461809,6.7,5.615,,6.89132,,,0.3561888,,,,0.00018,4.7619,,0.381,359.5783,65,,,,,,,0.0125,,7.13216,,0.719528,,,,,0.0004,,,,5.17224,,,,0.00000902,,,1,,,1,0.714286
1961-01,,0.8943744,,,9.174377e-14,,0.993,4.3066,0.00105097,2.461809,6.7,5.615,,6.90179,,,0.356303,,,,0.00018,4.7619,,0.381,358.9383,82.5,,,,,,,0.0125,,7.14082,,0.7197869,,,,,0.0004,,,,5.1709,,,,0.00000902,,,1,,,1,0.714286
1961-02,,0.896459,,,9.52058e-14,,0.99,4.3208,0.00105097,2.461809,6.7,5.615,,6.91515,,,0.3571046,,,,0.00018,4.7619,,0.381,358.9383,115,,,,,,,0.0125,,7.15052,,0.7214487,,,,,0.0004,,,,5.1701,,,,0.00000902,,,1,,,1,0.714286
1961-03,,0.8971828,,,1.086212e-13,,0.987,4.3208,0.00104897,2.461809,6.7,5.615,,6.91611,,,0.3574492,,,,0.00018,4.7619,,0.381,358.9383,130,,,,,,,0.0125,,7.15052,,0.7220738,,,,,0.0004,,,,5.16716,,,,0.00000902,,,1,,,1,0.714286
1961-04,,0.8970219,,,1.224693e-13,,0.989,4.3249,0.00104997,2.461809,6.7,5.615,,6.91898,,,0.3573982,,,,0.00018,4.7619,,0.381,360.7483,130,,,,,,,0.0125,,7.14847,,0.7219695,,,,,0.0004,,,,5.16689,,,,0.00000902,,,1,,,1,0.714286
1961-05,,0.8983112,,,1.164107e-13,,0.988,4.3288,0.00104997,2.461809,6.7,5.615,,6.93481,,,0.357897,,,,0.00018,4.7619,,0.381,361.9183,130,,,,,,,0.0125,,7.16127,,0.7230135,,,,,0.0004,,,,5.16049,,,,0.00000902,,,1,,,1,0.714286
1961-06,,0.8996851,,,1.133815e-13,,1.005,4.3208,0.00104997,2.461809,6.7,5.615,,6.93001,,,0.3584486,,,,0.00018,4.7619,,0.381,361.9183,130,,,,,,,0.0125,,7.16743,,0.7240605,,,,,0.0004,,,,5.16396,,,,0.00000902,,,1,,,1,0.714286
1961-07,,0.9004953,,,1.14247e-13,,1.034,4.3161,0.00104897,2.461809,6.7,5.615,,6.93049,,,0.3587573,,,,0.00018,4.7619,,0.381,362.0583,130,,,,,,,0.0125,,7.17,,0.7246902,,,,,0.0004,,,,5.16609,,,,0.00000902,,,1,,,1,0.714286
1961-08,,0.8954957,,,1.17709e-13,,1.031,4.3172,0.00104897,2.461809,6.7,5.615,,6.90417,,,0.3568242,,,,0.00018,4.7619,,0.4306,362.0583,130,,,,,,,0.0125,,7.14082,,0.7206688,,,,,0.0004,,,,5.16369,,,,0.00000902,,,1,,,1,0.714286
1961-09,,0.8925384,,,1.263641e-13,,1.031,4.3165,0.00105197,2.461809,6.7,6.625,,6.88942,,,0.355682,,,,0.00018,4.7619,,0.4306,362.0583,130,,,,,,,0.0125,,7.122,,0.7182876,,,,,0.0004,,,,5.17357,,,,0.00000902,,,1,,,1,0.714286
1961-10,,0.891504,,,1.302588e-13,,1.03,4.3228,0.00105097,2.461809,6.7,6.625,,6.88658,,,0.3552145,,,,0.00018,4.7619,,0.4306,362.0583,130,,,,,,,0.0125,,7.11693,,0.7175145,,,,,0.0004,,,,5.16769,,,,0.00000902,,,1,,,1,0.714286
1961-11,,0.891663,,,1.328554e-13,,1.036,4.3228,0.00105097,2.461809,6.7,6.625,,6.88705,,,0.3552776,,,,0.00018,4.7619,,0.4306,362.0583,130,,,,,,,0.0125,,7.11845,,0.7176175,,,,,0.0004,,,,5.16876,,,,0.00000902,,,1,,,1,0.714286
1961-12,,0.8933357,,,1.328554e-13,,1.043,4.3161,0.00104897,2.461809,6.7,6.625,,6.87711,,,0.3559225,,,,0.00018,4.7619,,0.4306,362.0583,130,,,,,,,0.0125,,7.12301,,0.7189589,,,,,0.0004,,,,5.16903,,,,0.00000902,,,1,,,1,0.714286
1962-01,,0.890472,,,1.376157e-13,,1.045,4.3182,0.00104797,2.461809,6.7,6.625,,6.88373,,,0.3557959,,,,0.00018,4.7619,,0.4306,362.0583,130,,,,,,,0.0125,,7.12911,,0.7186489,,,,,0.0004,,,,5.16849,,,,0.00000902,,,1,,,1,0.714286
1962-02,,0.88968,,,1.376157e-13,,1.049,4.3269,0.00104797,2.461809,6.7,6.625,,6.8861,,,0.3553155,,,,0.000299999,4.7619,,0.4306,361.9183,130,,,,,,,0.0125,,7.12403,,0.7177205,,,,,0.0004,,,,5.15783,,,,0.00000902,,,1,,,1,0.714286
1962-03,,0.88968,,,1.376157e-13,,1.049,4.3399,0.00105297,2.461809,6.7,6.625,,6.88042,,,0.3552272,,,,0.000299999,4.7619,,0.4306,361.7883,130,,,,,,,0.0125,,7.12403,,0.7175145,,,,,0.0004,,,,5.15251,,,,0.00000902,,,1,,,1,0.714286
1962-04,,0.890472,,,1.376157e-13,,1.05,4.3457,0.00105097,2.461809,6.7,6.625,,6.8918,,,0.3553787,,,,0.000299999,4.7619,,0.4306,362.0583,130,,,,,,,0.0125,,7.12606,,0.7178751,,,,,0.0004,,,,5.14827,,,,0.00000902,,,1,,,1,0.714286
1962-05,,0.891266,,,1.445397e-13,,1.08232,4.3294,0.00105097,2.461809,6.7,6.625,,6.89845,,,0.3555808,,,,0.000299999,4.7619,,0.4306,361.9183,130,,,,,,,0.0125,,7.13165,,0.7183392,,,,,0.0004,,,,5.14721,,,,0.00000902,,,1,,,1,0.714286
1962-06,,0.892061,,,1.553586e-13,,1.08801,4.3156,0.00104797,2.461809,6.7,6.625,,6.89132,,,0.3560746,,,,0.000299999,4.7619,,0.4306,361.9183,130,,,,,,,0.0125,,7.13623,,0.719321,,,,,0.0004,,,,5.14509,,,,0.00000902,,,1,,,1,0.714286
1962-07,,0.892857,,,1.588206e-13,,1.07928,4.3174,0.00104997,2.461809,6.7,6.625,,6.90465,,,0.3562903,,,,0.000299999,4.7619,,0.4306,361.9183,130,,,,,,,0.0125,,7.14031,,0.7223346,,,,,0.0004,,,,5.14721,,,,0.00000902,,,1,,,1,0.714286
1962-08,,0.893655,,,1.696394e-13,,1.07785,4.3223,0.00104997,2.461809,6.7,6.625,,6.91659,,,0.3566207,,,,0.000299999,4.7619,,0.4306,361.9183,130,,,,,,,0.0125,,7.14592,,0.7204611,,,,,0.0004,,,,5.14615,,,,0.00000902,,,1,,,1,0.714286
